Manufacturer Part Number,Manufacturer Name,Vendor ID,Vendor Part Number,Description,Quantity Min,Part References
742C083101JPTR,CTS Resistor Products,DK,742C083101JPTR-ND,RES ARRAY 100 OHM 8TERM 4RES SMD,6,R12/R13/R14/R15/R16/R17
961206-6404-AR,3M,DK,3M9459-ND,CONN HEADER VERT DUAL 6POS GOLD,1,ICSP
1734035-2,Tyco Electronics,DK,A31727DKR-ND,CONN MINI USB RCPT RA TYPE B SMD,1,USB
748421245,Wurth Electronics Inc,DK,732-2230-6-ND,BALUN EMBER351 & 357 0805 SMD,1,B1
ATMEGA128RFA1-ZUR,Atmel,?,?,IC AVR MCU 2.4GHZ XCEIVER 64QFN,1,U3
B3U-1000P,Omron Electronics Inc - ECB Div,DK,SW1020DKR-ND,SWITCH TACT SPST W/O GND SMD,1,S1
B150B-13-F,Diodes Inc,DK,B150B-FDIDKR-ND,DIODE SCHOTTKY 50V 1A SMB,1,D1
C1608C0G1H090C,TDK Corporation,DK,445-5046-2-ND,CAP CER 9.0PF 50V C0G 0603,2,C1/C2
C3216Y5V1H475Z,TDK Corporation,DK,445-3472-2-ND,CAP CER 4.7UF 50V Y5V 1206,3,C4/C5/C6
CC0603MRY5V9BB104,Yageo,DK,311-1366-2-ND,CAP CERAMIC .1UF 50V Y5V 0603,11,C3/C7/C8/C9/C10/C11/C14/C15/C16/C17/C18
CONREVSMA003.062,Connector City,ME,712-CONREVSMA003.062,RF Connectors RP-SMA Fml Edge Mnt for 0.062 Thick Brd,1,RF
ECS-160-9-42-CKM-TR,ECS Inc,DK,XC1611DKR-ND,CRYSTAL 16.000 MHZ 9PF SMD,1,Q1
NTF5P03T3G,ON Semi,,,MOSFET Power 30V P-Ch 3.7A,1,T1
FT232RL-REEL,FTDI,DK,768-1007-6-ND,IC USB TO SERIAL UART 28-SSOP,1,U4
GQM1885C1H220JB01D,Murata Electronics,DK,490-3575-2-ND,CAP CER 22PF 50V 5% C0G 0603,2,C12/C13
LM358DR,Texas Instruments,DK,296-1014-6-ND,IC OPAMP GP 700KHZ DUAL 8SOIC,1,U5
LTST-C193KGKT-5A,Lite-On Inc,DK,160-1828-6-ND,LED GREEN RECT CLEAR 0603,2,L/PWR
LTST-C193KRKT-5A,Lite-On Inc,DK,160-1830-6-ND,LED RED RECT CLEAR 0603,4,RFRX/RFTX/RX/TX
MIC2954-03WS-TR,Micrel Inc,DK,576-1154-6-ND,IC REG LDO 250MA 5V 1.0% SOT223,1,U1
MIC5201-3.3YS TR,Micrel Inc,DK,576-1251-6-ND,IC REG LDO 200MA 3.3V 1% SOT223,1,U2
MINISMDC050F-2,PolySwitch,DK,MINISMDC050FDKR-ND,POLYSWITCH .50A RESET FUSE SMD,1,F1
PJ-002AH,CUI Inc,DK,CP-002AHPJCT-ND,CONN POWER JACK 2.1X5.5MM HI CUR,1,DC-PWR
PPPC021LFBN,Sullins Connector Solutions,DK,S4102-ND,"CONN HEADER FEMALE 2POS .1"" GOLD",1,I2C
PPPC081LFBN,Sullins Connector Solutions,DK,S4108-ND,"CONN HEADER FEM 8POS .1"" SGL GLD",2,DIGITAL0/DIGITAL1
PPTC031LFBN,Sullins Connector Solutions,DK,S4103-ND,"CONN HEADER FEM 3POS .1"" SGL GLD",1,SPI
PPTC061LFBN,Sullins Connector Solutions,DK,S4106-ND,"CONN HEADER FEM 6POS .1"" SGL GLD",2,ANALOG/POWER
RMCF0603FT1K00,Stackpole Electronics Inc,DK,RMCF0603FT1K00TR-ND,RES 1K OHM 1/10W 1% 0603 SMD,6,R4/R5/R6/R7/R8/R9
RMCF0603FT10K0,Stackpole Electronics Inc,DK,RMCF0603FT10K0TR-ND,RES 10K OHM 1/10W 1% 0603 SMD,3,R1/R10/R11
SD103ASDM-7,Diodes Inc,DK,SD103ASDM-FDIDKR-ND,DIODE SCHOTTKY ARRAY 40V SOT26,12,D2/D3/D4/D5/D6/D7/D8/D9/D10/D11/D12/D13
SN74LVC1G17DBVR,Texas Instruments,DK,296-11933-6-ND,IC BUFFER SCHMIT TRIG SOT235,1,U6
