Digi-Key Part Number,Manufacturer Name,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,
742C083101JPTR-ND,CTS Resistor Products,742C083101JPTR,?,6,?,?,
3M9459-ND,3M,961206-6404-AR,?,1,?,?,
A31727DKR-ND,Tyco Electronics,1734035-2,?,1,?,?,
732-2230-6-ND,Wurth Electronics Inc,748421245,?,1,?,?,
SW1020DKR-ND,Omron Electronics Inc - ECB Div,B3U-1000P,?,1,?,?,
B150B-FDIDKR-ND,Diodes Inc,B150B-13-F,?,1,?,?,
445-5046-2-ND,TDK Corporation,C1608C0G1H090C,?,2,?,?,
445-3472-2-ND,TDK Corporation,C3216Y5V1H475Z,?,3,?,?,
311-1366-2-ND,Yageo,CC0603MRY5V9BB104,?,11,?,?,
XC1611DKR-ND,ECS Inc,ECS-160-9-42-CKM-TR,?,1,?,?,
768-1007-6-ND,FTDI,FT232RL-REEL,?,1,?,?,
490-3575-2-ND,Murata Electronics,GQM1885C1H220JB01D,?,2,?,?,
296-1014-6-ND,Texas Instruments,LM358DR,?,1,?,?,
160-1828-6-ND,Lite-On Inc,LTST-C193KGKT-5A,?,2,?,?,
160-1830-6-ND,Lite-On Inc,LTST-C193KRKT-5A,?,4,?,?,
576-1154-6-ND,Micrel Inc,MIC2954-03WS-TR,?,1,?,?,
576-1251-6-ND,Micrel Inc,MIC5201-3.3YS TR,?,1,?,?,
MINISMDC050FDKR-ND,PolySwitch,MINISMDC050F-2,?,1,?,?,
NTF5P03T3GOSCT-ND,ON Semi,NTF5P03T3G,?,1,?,?,
CP-002AHPJCT-ND,CUI Inc,PJ-002AH,?,1,?,?,
S4102-ND,Sullins Connector Solutions,PPPC021LFBN,?,1,?,?,
S4108-ND,Sullins Connector Solutions,PPPC081LFBN,?,2,?,?,
S4103-ND,Sullins Connector Solutions,PPTC031LFBN,?,1,?,?,
S4106-ND,Sullins Connector Solutions,PPTC061LFBN,?,2,?,?,
RMCF0603FT1K00TR-ND,Stackpole Electronics Inc,RMCF0603FT1K00,?,6,?,?,
RMCF0603FT10K0TR-ND,Stackpole Electronics Inc,RMCF0603FT10K0,?,3,?,?,
RMCF0603FT100RTR-ND,Stackpole Electronics Inc,RMCF0603FT100R,?,1,?,?,
SD103ASDM-FDIDKR-ND,Diodes Inc,SD103ASDM-7,?,12,?,?,
296-11933-6-ND,Texas Instruments,SN74LVC1G17DBVR,?,1,?,?,
