Mfr Part No.,Customer Reference,Qty1,Qty2,Qty3
B150B-13-F,D1/D14/D15,3,270,300
MI0805K400R-10,L1,1,90,95
S2B-PH-SM4-TB(LF)(SN),JP1,1,90,95
ERJ-3EKF1004V,R11,1,90,95
ERJ-3EKF1204V,R10,1,90,95
C3216Y5V1H475Z,C3/C4/C5/C6,4,360,380
GRM188R71H103KA01D,C20,1,90,95
ECS-160-20-3X-TR,Q1,1,90,95
GQM1885C1H220JB01D,C10/C11,2,180,200
SN74LVC1G17DBVR,U6,1,90,95
MF-MSMF050-2,F2,1,90,95
ATMEGA128RFA1-ZUR,U3,1,90,85
FT231XS-R,U4,1,90,95
LTST-C193KGKT-5A,L/PWR,2,180,200
MCP73831T-2ACI/OT,U7,1,90,95
MIC2954-03WS-TR,U1,1,90,95
MIC5201-3.3YS TR,U2,1,90,95
479480001,ANT1,1,90,95
PJ-002AH-SMT,X1,1,90,95
LTST-C193KRKT-5A,CHG/RFRX/RFTX/RX/TX,5,450,500
SD103ASDM-7,D2/D3/D4/D5/D6/D7/D8/D9/D10/D11/D12/D13,12,1080,1100
748421245,B1,1,90,95
